terminal_id,lat,lon,berth_count,dwell_minutes,center_method,polygon
10,38.9963995,118.45519483333334,4,47813.733333333344,duration_weighted_berth_medoid,"POLYGON ((118.4502540721647 38.99807317594727, 118.44991350221935 39.00618701303919, 118.45041354372498 39.007807529227065, 118.45182349818505 39.00906314986876, 118.45388306707085 39.00982984424907, 118.45559075212554 39.010003428799, 118.45725697023045 39.00966489533668, 118.45931614304108 39.00825751822951, 118.46014856212285 39.00672635362227, 118.45994699437085 38.99201025912201, 118.46029510855155 38.99074565882318, 118.45947129557416 38.988081630785736, 118.4572225295606 38.98643128848684, 118.45546773935784 38.98614857757904, 118.45298419514454 38.98657646444939, 118.45140141842846 38.987248345252766, 118.45028622163049 38.98834996976572, 118.44981396411144 38.990056389307625, 118.45027518625899 38.992229970199034, 118.4502540721647 38.99807317594727))"
11,38.97720117857143,118.45511096428572,5,122197.11666666667,duration_weighted_berth_medoid,"POLYGON ((118.450252796007 38.978589462169026, 118.45006581208608 38.98478926574062, 118.45045829352638 38.988312932968874, 118.45178515877011 38.98971314006335, 118.45371136700334 38.99055833896378, 118.45545097117535 38.990811913154715, 118.4571815516074 38.9905234392556, 118.45918343104286 38.98919392015369, 118.46027210711016 38.986796344148935, 118.46026618213446 38.979526339182144, 118.45986876092545 38.978070844589865, 118.46016520202387 38.97591005651835, 118.45967370570867 38.97453595811543, 118.45812141483393 38.973120959564106, 118.45653264205521 38.972472092647614, 118.45474393559208 38.9723586005908, 118.45304085893726 38.97279860465687, 118.45132992826333 38.97372836397327, 118.45040741406208 38.97484576918479, 118.450252796007 38.978589462169026))"
12,39.576325,121.262405,2,205416.55,duration_weighted_berth_medoid,"POLYGON ((121.25415286136311 39.57760679997254, 121.25315999421429 39.58002785970844, 121.25402235104649 39.58219614800484, 121.25644103066988 39.58348771452003, 121.25976101611298 39.58353337932375, 121.2613039086687 39.58285135003587, 121.26253521546896 39.581484259061796, 121.26624270280475 39.581308533492724, 121.26861974114657 39.57996391443729, 121.2694104392181 39.57810353806407, 121.2692398042599 39.5735704930489, 121.2679766599429 39.57218482285535, 121.26601200039248 39.57142671911276, 121.25699077956946 39.571494293052176, 121.2552019701532 39.572491708965714, 121.25435578860485 39.57369246829441, 121.25415286136311 39.57760679997254))"
13,39.58503143478261,121.28841873913044,2,191042.55000000002,duration_weighted_berth_medoid,"POLYGON ((121.28489666769975 39.59146659673224, 121.28580906421976 39.592738377635236, 121.28735206334812 39.59371252109693, 121.29030700941841 39.59420108964405, 121.29267848580012 39.59337211747628, 121.29567043038112 39.5903242713577, 121.2964282931484 39.588744828117115, 121.29650013392659 39.58335421388826, 121.29580642928678 39.58178492737305, 121.29461218869852 39.58082349741673, 121.29260817224805 39.58022099058016, 121.28682835460863 39.58007198637117, 121.2847860846669 39.58056467773406, 121.28307472494312 39.58175732209236, 121.28218521102482 39.58357120479884, 121.28230043317093 39.588714212043826, 121.2830441177742 39.590263081523126, 121.28489666769975 39.59146659673224))"
14,39.214932000000005,119.03197606896552,4,56414.91666666666,duration_weighted_berth_medoid,"POLYGON ((119.02726445733045 39.217071090973825, 119.02826204963111 39.21801872585747, 119.03010761286014 39.218749457582, 119.03313527861576 39.220752493758695, 119.03520590907846 39.22138562312428, 119.03820010717789 39.221264249273, 119.0398535531446 39.22076253434019, 119.04136057758232 39.219508698821585, 119.04188882276594 39.218195241733824, 119.04160468781674 39.21585346435852, 119.04022331902267 39.214199279662985, 119.03202650194714 39.210215903860096, 119.02966586523087 39.209742941760396, 119.0279608174482 39.209881535145854, 119.0264469914425 39.21050502824585, 119.02534493606944 39.2115225734008, 119.02461183925145 39.21311892359079, 119.02500939562094 39.21545969759564, 119.02726445733045 39.217071090973825))"
15,39.92469474647887,119.67636757746479,11,170443.73333333334,duration_weighted_berth_medoid,"POLYGON ((119.66413983270327 39.933406230106606, 119.66642768549093 39.93445154009557, 119.66727063239091 39.93565213043144, 119.66890357106851 39.936695453170074, 119.67061323331075 39.9370720930377, 119.67237950629442 39.93691031662154, 119.67453740253282 39.93573599609114, 119.67546133105046 39.933517990580654, 119.67701121784133 39.93273340435161, 119.67825419300168 39.93079004574656, 119.67983864585743 39.930087914360584, 119.68088751703876 39.92901675220494, 119.68171223059015 39.9228787886735, 119.68139857638789 39.921504075403995, 119.68249271001216 39.91809685511393, 119.68262461413804 39.913469602692494, 119.681895321968 39.9118428079229, 119.67990897134067 39.91041333322347, 119.67788849370507 39.90998848980875, 119.67505528086117 39.910403158488435, 119.67351786893383 39.91095928221332, 119.67215080096828 39.91219964626201, 119.67167653045428 39.913782555732226, 119.67176655333104 39.922986625003915, 119.66839729780776 39.92327182603625, 119.66618895755082 39.92490810216767, 119.66312827456048 39.92537259096532, 119.66125065334555 39.92686522569813, 119.66063256663317 39.928547007473924, 119.66096957223746 39.931034159536566, 119.66206529820874 39.93248135683048, 119.66413983270327 39.933406230106606))"
16,38.94346063414634,118.4467070487805,1,44827.4,duration_weighted_berth_medoid,"POLYGON ((118.45252910573488 38.93908172736128, 118.44945725539083 38.938176971490975, 118.44290210193142 38.938255938563394, 118.44055546324755 38.939016767387464, 118.43945827715606 38.940034825344966, 118.43892903282062 38.94129784904268, 118.43878194099024 38.94540096779288, 118.4397224576358 38.947304718993685, 118.44105878814648 38.94819847672786, 118.4427344208439 38.948623524926326, 118.45010943584717 38.94873366214495, 118.45250171978955 38.948019193012485, 118.45412528188344 38.946080751723805, 118.45444635969729 38.94214949704359, 118.45401829131384 38.940488779387536, 118.45252910573488 38.93908172736128))"
17,38.97226310810811,117.76098777027026,10,124744.58333333333,duration_weighted_berth_medoid,"POLYGON ((117.75248669738835 38.970329076449474, 117.75032501609746 38.97065246617382, 117.74862059753126 38.971735579907346, 117.74786784016977 38.97297893843003, 117.74758907879449 38.97539783447519, 117.74899203061273 38.977452888070616, 117.75131134312663 38.978328554599656, 117.75494420145876 38.978232014254615, 117.75655504513894 38.97765726133282, 117.75774330735304 38.97665563906297, 117.75969879407573 38.97650890891136, 117.75996580531715 38.977816550760515, 117.75568805300647 38.978185092049394, 117.75433493089524 38.97901136599365, 117.75336176463819 38.980495876046135, 117.75343608901628 38.98417358420574, 117.75464707445593 38.985566116623836, 117.75613718447387 38.986258519645034, 117.76240716650344 38.98628595342599, 117.76502553651996 38.985242641123314, 117.7662513309766 38.98316342428339, 117.76584014444938 38.98018875483944, 117.76772060553735 38.97953632878357, 117.76887187537335 38.9785214769907, 117.76966414144776 38.97629585782479, 117.76922635023935 38.97466020976179, 117.76989865056713 38.974203004590365, 117.77274328986717 38.97375713848438, 117.77164718869429 38.975281405168985, 117.7713243313368 38.97727947159903, 117.77213006972671 38.97885012226672, 117.77379065137498 38.97994226639834, 117.7754774740324 38.980293856984325, 117.77813449847972 38.98017036407636, 117.77964216092381 38.97950504656933, 117.78089247692607 38.978136403431876, 117.78123796639188 38.97588681439753, 117.78047394492656 38.97429888138557, 117.7784372945508 38.97303569714655, 117.77579955549831 38.97268166309045, 117.77715828302533 38.9706886321965, 117.77726050076295 38.969026914185704, 117.77607680539305 38.96726488275903, 117.77426426966096 38.96638067033534, 117.77201090663081 38.965971096397084, 117.7676006363042 38.966554439439264, 117.76409060557374 38.9679385062102, 117.76004324292887 38.96834908412108, 117.75622657198952 38.96924099597457, 117.75424638505845 38.97041305368954, 117.75248669738835 38.970329076449474))"
18,38.973708499999994,117.7859677962963,7,57026.46666666667,duration_weighted_berth_medoid,"POLYGON ((117.77876875359253 38.964888726214745, 117.77640240034962 38.9653693162362, 117.774823783413 38.96659471765867, 117.77387063082382 38.96840500881976, 117.77434881687297 38.97047333377374, 117.77655601784866 38.97226646525544, 117.77946331027564 38.972630070034235, 117.77888109858954 38.97410400056659, 117.77911445666413 38.975494704065476, 117.78043797624899 38.97704932453464, 117.78232592502344 38.97800931533651, 117.78261056442064 38.980560183036204, 117.7840430694365 38.98230272696441, 117.78649244550643 38.98310966312055, 117.78987116639118 38.983110369034286, 117.79154822938266 38.982714914943614, 117.79290295043991 38.98185067486894, 117.79372908556253 38.98064920751825, 117.79389955810628 38.97758379778826, 117.79284396567901 38.975666324414156, 117.79082131166295 38.97462049822697, 117.79092652312097 38.97270527113594, 117.78982414811895 38.97113106655208, 117.791667423507 38.97060044901999, 117.79313419995275 38.969379736974474, 117.79402724830364 38.96746007610461, 117.79356502467164 38.96545839153095, 117.79174691647755 38.963996295610734, 117.78802796889875 38.96328389112428, 117.78537782717059 38.963901287374455, 117.7822591757587 38.96380931846732, 117.77876875359253 38.964888726214745))"
19,38.9839079375,117.78047471875,4,20215.350000000002,duration_weighted_berth_medoid,"POLYGON ((117.77559088952758 38.983954771716064, 117.77438004088687 38.98691030058446, 117.77506919605453 38.98915449734245, 117.7780439328593 38.990853145743316, 117.78107019896483 38.99080269175479, 117.78336806033397 38.989271215897084, 117.78428260231223 38.98670438232771, 117.78870206349862 38.98381090705356, 117.78924173883509 38.98215157239033, 117.78889983793833 38.979664340700864, 117.78792618655996 38.97853157069565, 117.78605399822646 38.977659229155094, 117.78143785471487 38.97776985145266, 117.77642589824619 38.98140578546993, 117.77568015586783 38.982636480334165, 117.77559088952758 38.983954771716064))"
