cluster_id,reference_pid,reference_name,center_distance_m,predicted_area_m2,reference_area_m2,area_ratio_predicted_to_reference,intersection_area_m2,iou,predicted_area_precision,reference_area_recall
72,51,宁德2号锚地,1194.9004839837203,17608028.097331937,36915136.61385882,0.4769866703059001,16471030.334342232,0.4328543090703456,0.9354273086852929,0.4461863572830072
77,124,台州2号锚地,6111.99682715528,691009391.7793818,17296065.86724496,39.951824714544216,17296065.86724496,0.02503014586054579,0.025030145860545795,1.0
78,133,舟山3号锚地,7527.558287222561,1054602638.4943299,203549093.02070025,5.1810726485874365,203442516.31558147,0.19288967365010679,0.1929091668175978,0.999476407860447
80,165,水东1号锚地,6812.558305521768,324768512.86171234,77149106.47726175,4.209621182812166,77149106.47726175,0.23755106613464128,0.23755106613464136,1.0
87,56,锦州1号锚地,6819.032376916852,117824717.93090908,448553370.1530733,0.26267714339254705,117824717.93090908,0.26267714339254716,1.0,0.26267714339254705
88,45,海口2号锚地,4749.475564693829,110885721.7974253,113865306.08457084,0.9738323780122057,86168669.16208665,0.6217867119453508,0.7770943613417272,0.7567596498452904
93,33,汕尾红海湾电厂锚地,9271.444543128473,680231005.684462,75789529.39601015,8.975263616299378,75789529.39601012,0.11141734023098407,0.11141734023098401,0.9999999999999996
99,74,龙口1号锚地,4832.139337526193,505901477.42076474,336384798.13131315,1.5039368016365533,286154226.34488195,0.5145436713327569,0.5656323199603622,0.8506752621834507
101,29,防城锚地,9457.86554736112,846740590.5021144,368127053.35829353,2.3001313888169808,366443644.89024836,0.4319109847612133,0.4327696687753548,0.9954270992781215
105,114,苍南2号锚地,9935.715429438322,205769226.1756205,224375504.0357952,0.9170752710277749,130879199.25627993,0.437334693503005,0.6360484591829917,0.5833043130920407
106,101,滨海锚地,8664.597721765811,544751061.0297832,338198689.30677253,1.6107426736229946,314819819.0652878,0.5541334855581997,0.5779150176782779,0.9308723807019895
112,22,高栏锚地,7292.099721110457,166406176.8960862,161556806.15889606,1.0300165053549066,107731864.67237988,0.4891763955229071,0.6474030392492822,0.6668358160436911
116,108,上海南港2号锚地,3714.589496180801,1608313543.9577844,311640974.61890507,5.160789738655308,311640974.618905,0.19376879327398408,0.1937687932739843,0.9999999999999998
123,171,靖海锚地,2848.599362746677,296960736.47838,23146477.227123745,12.829629907154615,20790366.28148836,0.06945939214720015,0.07001048868627784,0.89820865946398
132,79,烟台2号锚地,1550.6346328086483,51340495.958583795,164538362.13311607,0.31202751317682326,51340495.958583795,0.31202751317682326,1.0,0.31202751317682326
143,32,惠州锚地,1663.081370097831,778171845.1644937,546986594.4981935,1.4226524982360673,465545920.18224967,0.541576477345437,0.598255929040764,0.8511102920343822
150,77,蓬莱2号锚地,2144.4494485471255,653147226.5998337,99407673.85245474,6.570390406371079,99407673.85245475,0.1521979575262887,0.1521979575262887,1.0000000000000002
151,38,广东陆丰甲湖湾电厂锚地,5150.60508478759,209987412.88131958,71947648.65931486,2.918613975498324,70043560.60113966,0.3305633321326134,0.3335607579523197,0.973535089837454
152,36,汕头华能海门电厂锚地,9880.189692527489,142407451.21601963,34363443.086407885,4.14415548692056,20093710.794818915,0.12824911927168547,0.14110013642712077,0.5847409045796922
161,175,揭阳2号锚地,8405.957942907522,164688585.33184558,9360766.293415522,17.593493969365472,3662198.7907148455,0.021493397417532988,0.02223711366112932,0.3912285250931733
162,43,福州2号锚地,1017.3349382435614,376813876.40248483,130977545.32412475,2.8769349392676355,130881260.98565353,0.34724789782360405,0.34733662739600335,0.9992648790429463
163,81,威海锚地,2197.9979043971093,99441405.53861748,195618182.71892148,0.5083443888316975,96425397.96733414,0.48544209748813144,0.9696705054102228,0.49292656044088295
171,147,马迹山3号锚地,2192.8293516594777,205734613.40783864,29495152.479255483,6.975200875890905,29495152.479255486,0.1433650467983513,0.14336504679835124,1.0000000000000002
180,88,乳山1号锚地,921.5467162792891,20362730.331763886,35881248.069961175,0.5675034015556171,20362313.967186335,0.5674852125194735,0.9999795526154516,0.5674917975953329
199,76,蓬莱1号锚地,1944.590391753254,144607925.2103713,57138668.781497285,2.530824191290897,57012288.040473044,0.39390998330152976,0.39425424268782827,0.9977881749134281
206,113,宁德3号锚地,2198.2675812773386,78471546.4583073,61281511.98605186,1.2805093072143523,55535165.868876696,0.6594224121566729,0.7077108630499983,0.9062303469522248
207,90,海阳锚地,3904.314215664142,47021351.55599275,265570256.92745852,0.17705804896983177,40790684.700940415,0.15007559258179923,0.8674928165849742,0.15359658559987965
218,82,张家埠锚地,7175.234099170166,252052061.74365687,167150850.52070946,1.507931673446247,162434475.8470543,0.6326107605494833,0.6444481141053079,0.9717837231520948
226,115,苍南1号锚地,4216.766628375515,264318861.43698314,100225992.24201556,2.6372286821439768,100225992.24201556,0.37918592603316975,0.37918592603316986,1.0
257,46,海口1号锚地,4257.688682740203,65386032.47591792,64806277.602854595,1.008945967806023,53255397.36966392,0.6921956638814235,0.8144766604286352,0.821762942411587
266,148,马迹山4号锚地,3370.077404326923,236144847.86921147,29424687.009633478,8.025398801757822,29424687.00963348,0.12460439969425165,0.12460439969425167,1.0000000000000002
267,149,马迹山2号锚地,2626.528743656248,42750820.19858422,29249212.546180695,1.4616058511348382,18653814.30929806,0.349674538446701,0.43633816199661635,0.6377544106476754
