terminal_id,reference_pid,reference_name,center_distance_m,predicted_area_m2,reference_area_m2,area_ratio_predicted_to_reference,intersection_area_m2,iou,predicted_area_precision,reference_area_recall
236,"1,385",华锦港区,192.04658306499067,1337419.5339809319,516897.8229670339,2.58739633745029,508189.52871056006,0.37751951787221716,0.3799776478498822,0.9831527743597612
237,"2,126",宝钢原材料码头,615.2681889273728,3769337.15030222,5505724.23801506,0.6846214934406436,3157920.364868379,0.516241223271311,0.8377919615429418,0.573570383904095
238,"1,101",海委码头,359.5284810504243,1198062.2241506786,1462595.206103628,0.8191345213979823,693576.1977599426,0.35259153831712936,0.5789150043952246,0.47420926505539307
239,"1,245",漳湾作业区,129.65622967826386,1283903.2801640194,402884.51923090155,3.186777398682295,402884.5192309016,0.31379662740594677,0.3137966274059467,1.0000000000000002
240,"1,085",漳湾作业区,77.81234402567635,1491561.8012222168,577257.1302636579,2.5838776569826987,577257.1302636579,0.3870152277905222,0.3870152277905222,1.0
243,"1,742",上海崇明堡镇电厂,130.54931258033014,1420917.1829756133,276979.74287345796,5.1300400824791685,276979.74287345796,0.19493025082110763,0.19493025082110763,1.0
244,"1,347",泉州后渚码头,274.64522493136934,1638866.4529559836,730064.3729948392,2.2448245847596904,715988.1479703633,0.4331596960429062,0.4368801049523912,0.9807192001895215
245,"1,194",恒力石化码头,285.63415896413176,1700199.8467837411,588104.0326295218,2.890984846986737,364722.36561931856,0.18960587997124406,0.21451735000991906,0.6201664082944262
246,"1,319",揭阳利宏基码头,214.36511722677776,1534001.0553812727,241494.5592200346,6.352114351295127,241494.5592200346,0.15742789639738,0.15742789639738,1.0
249,"2,079",安州码头,107.30448277889002,1794017.6592818224,625265.2706310098,2.8692104672170937,619764.141867279,0.3444054855022665,0.3454615614627683,0.9912019281701362
250,"2,007",张家港电厂,261.32601943301665,2027628.0667289922,218330.81796097325,9.286953100186855,210983.80564595235,0.10367881544036793,0.10405449061785547,0.9663491742318568
251,"1,876",曹妃甸通用码头,478.7095069977571,3729447.562937433,1720919.1247753347,2.1671254094664736,1608312.7834720737,0.41860755303221725,0.4312469223203972,0.9345661631147474
252,"1,817",嘉兴电厂,523.7183046770489,3047592.346587676,1247931.7416805816,2.442114616367962,1176492.3384804805,0.37719793604554697,0.38603993076625676,0.9427537574259517
253,"1,550",宁波镇海港码头,712.7957193960423,1243294.0808848746,6496178.090194697,0.19138854625329582,1222830.7613460917,0.18764739141847359,0.983541046439939,0.18823849105858526
257,"1,957",鞍钢鲅鱼圈货运码头,266.40302592756956,2823643.792214774,1438972.6678322766,1.9622636727829021,1368708.9741116348,0.4729622424917355,0.48473145865118633,0.9511709323662904
258,"1,240",通用码头,255.2147191404339,2087602.3561354969,662108.2472442123,3.152962321228276,640695.0883427055,0.3037887032004429,0.30690475437512915,0.967659126750601
259,"2,072",泰兴国川码头,265.8550500545385,4080072.6457502237,557555.7791041549,7.317783796099871,472418.9119605911,0.1134202038332466,0.1157868873861007,0.8473034083148483
