terminal_id,lat,lon,berth_count,dwell_minutes,center_method,polygon
394,38.96473021621622,121.81347718918919,1,4319.333333333334,duration_weighted_berth_medoid,"POLYGON ((121.80809050810333 38.960322007595686, 121.81911676216113 38.960322007595686, 121.81911676216113 38.968985553081325, 121.80809050810333 38.968985553081325, 121.80809050810333 38.960322007595686))"
395,28.69984203448276,121.43473489655173,1,4098.450000000001,duration_weighted_berth_medoid,"POLYGON ((121.42971289637546 28.695483630468345, 121.43967420362446 28.695483630468345, 121.43967420362446 28.704252506060527, 121.42971289637546 28.704252506060527, 121.42971289637546 28.695483630468345))"
396,29.043709197183098,121.6379885140845,2,30187.949999999997,duration_weighted_berth_medoid,"POLYGON ((121.63276464637548 29.03843825104642, 121.6484224006278 29.03843825104642, 121.6484224006278 29.051913237876498, 121.63276464637548 29.051913237876498, 121.63276464637548 29.03843825104642))"
397,30.396832571428572,122.39545899999999,2,527.8666666666667,duration_weighted_berth_medoid,"POLYGON ((122.38603729637543 30.385831357484857, 122.40053667919969 30.385831357484857, 122.40053667919969 30.401077386001308, 122.38603729637543 30.401077386001308, 122.38603729637543 30.385831357484857))"
398,31.007809428571427,121.4491935164835,3,72446.98333333334,duration_weighted_berth_medoid,"POLYGON ((121.43557305375415 31.003318162855056, 121.45461601765717 31.003318162855056, 121.45461601765717 31.01518292980453, 121.43557305375415 31.01518292980453, 121.43557305375415 31.003318162855056))"
399,36.87258346666667,122.44716443333333,1,64885.78333333333,duration_weighted_berth_medoid,"POLYGON ((122.43952546264885 36.86774952386153, 122.45417847320664 36.86774952386153, 122.45417847320664 36.87760820985242, 122.43952546264885 36.87760820985242, 122.43952546264885 36.86774952386153))"
400,32.19875942857143,119.28287485714286,7,42486.33333333333,duration_weighted_berth_medoid,"POLYGON ((119.26380972616278 32.19203778335364, 119.29922185362447 32.19203778335364, 119.29922185362447 32.20944789134364, 119.26380972616278 32.20944789134364, 119.26380972616278 32.19203778335364))"
401,37.790319078431374,120.63188821568627,1,39641.21666666667,duration_weighted_berth_medoid,"POLYGON ((120.62498111066122 37.78632680982261, 120.63948828092327 37.78632680982261, 120.63948828092327 37.794352111931445, 120.62498111066122 37.794352111931445, 120.62498111066122 37.78632680982261))"
402,30.068227098039216,121.89416217647059,1,11865.866666666667,duration_weighted_berth_medoid,"POLYGON ((121.88909668343769 30.063823737940456, 121.89919139348535 30.063823737940456, 121.89919139348535 30.07261211829397, 121.88909668343769 30.07261211829397, 121.88909668343769 30.063823737940456))"
403,32.249003075000005,119.69267835000001,1,43494.683333333334,duration_weighted_berth_medoid,"POLYGON ((119.68748385602699 32.24457763038375, 119.69766095573767 32.24457763038375, 119.69766095573767 32.253364241819654, 119.68748385602699 32.253364241819654, 119.68748385602699 32.24457763038375))"
404,31.924774244444446,120.20783542222222,2,23067.883333333335,duration_weighted_berth_medoid,"POLYGON ((120.20285725887548 31.920516527442715, 120.21774910362447 31.920516527442715, 120.21774910362447 31.92968671064652, 120.20285725887548 31.92968671064652, 120.20285725887548 31.920516527442715))"
405,40.05372659906542,120.02511882429906,1,58131.433333333334,duration_weighted_berth_medoid,"POLYGON ((120.01994765076765 40.04986218690692, 120.03003703735115 40.04986218690692, 120.03003703735115 40.05747067915028, 120.01994765076765 40.05747067915028, 120.01994765076765 40.04986218690692))"
