prediction_index,reference_index,overlap_area_m2,relation
223,858,137036.25378469122,部分重叠
224,223,83306.96241287501,预测包含真实
224,224,105194.95616673373,预测包含真实
224,222,220096.5504125928,预测包含真实
229,320,690449.1959993312,部分重叠
230,855,650996.1499767769,预测包含真实
233,418,1588704.1257578917,部分重叠
234,156,579426.7479760875,预测包含真实
235,663,4145228.08948708,部分重叠
236,292,513922.6983831875,部分重叠
237,920,3633087.0970780714,部分重叠
237,919,49447.46980644105,部分重叠
238,66,763500.2524903147,部分重叠
239,155,402884.5192309016,预测包含真实
239,53,162704.07827081892,部分重叠
240,155,9478.79369678823,部分重叠
240,53,577257.1302636579,预测包含真实
243,569,276979.74287345796,预测包含真实
244,254,727532.4755871131,部分重叠
245,242,557808.3416177036,部分重叠
245,110,388719.63232064317,部分重叠
245,793,711651.8902332487,部分重叠
246,226,241494.5592200346,预测包含真实
249,873,624916.3638993979,部分重叠
250,519,2931.513022207165,部分重叠
250,521,601982.8298881357,部分重叠
250,819,217769.62683696236,部分重叠
251,689,174763.92819217045,部分重叠
251,688,1630978.0470016352,部分重叠
252,631,1247931.7416805816,预测包含真实
252,490,1079542.8945941094,部分重叠
253,436,1463959.5826942022,部分重叠
256,720,1205795.805138579,部分重叠
257,769,1374125.8220956102,部分重叠
258,152,278139.8802666693,部分重叠
258,150,651603.881632533,部分重叠
258,151,212374.89903095295,部分重叠
258,377,177263.99885592383,部分重叠
259,867,154215.94488687697,部分重叠
259,505,389080.35339573195,部分重叠
259,506,363383.5568673924,预测包含真实
259,866,500392.6182596434,部分重叠
260,373,871025.3959768132,部分重叠
261,373,1080970.2088891051,部分重叠
262,160,858129.0986749931,部分重叠
263,789,578722.8817077224,部分重叠
263,135,270157.1156561864,部分重叠
264,671,1453399.8528599942,部分重叠
265,534,128661.62917536171,部分重叠
265,532,862588.1618712824,预测包含真实
265,531,357576.21044482687,部分重叠
266,426,105442.56462046341,部分重叠
266,42,626202.3550393416,部分重叠
267,770,1236333.3599770833,部分重叠
268,425,394413.69425072,预测包含真实
268,280,311239.83409453754,预测包含真实
270,282,1032926.6673181332,部分重叠
270,281,80188.12341184943,部分重叠
271,217,54724.219953382926,部分重叠
271,218,234504.88552399635,预测包含真实
271,216,583201.0546623401,预测包含真实
272,394,1170173.6162127538,部分重叠
273,684,780479.2808139772,部分重叠
274,213,1209502.5254953708,部分重叠
275,221,1299135.8556587328,部分重叠
276,888,1456247.900599138,部分重叠
276,754,182881.645199784,部分重叠
277,843,95626.0003649562,部分重叠
277,844,415906.4665678323,部分重叠
278,578,714136.269899092,部分重叠
280,507,1203680.1852221282,部分重叠
282,529,659181.8828691063,部分重叠
284,284,1049847.1226714705,部分重叠
286,617,1109720.081651727,部分重叠
287,484,2709888.754508029,部分重叠
288,783,751152.9639513047,部分重叠
