reference_index,overlapping_prediction_count,reference_area_m2,overlap_area_m2,reference_area_recall
199,0,409876.31979457947,0.0,0.0
200,0,410239.86305882566,0.0,0.0
201,1,285990.2068750522,177020.41722986754,0.6189737025058587
202,0,348601.94400462875,0.0,0.0
203,1,177281.30639415642,21112.567179146223,0.11909076940241986
204,0,546046.4571171722,0.0,0.0
205,0,223371.8125155533,0.0,0.0
206,0,733203.3601038917,0.0,0.0
207,0,650788.1473977803,0.0,0.0
208,1,358220.5463516664,357510.28496875404,0.9980172511316113
209,3,15022516.247232374,5297329.689011209,0.3526259916668185
210,1,14653277.643321881,1497666.0482305873,0.10220689764334992
211,0,20084018.60727368,0.0,0.0
212,0,8854804.029494558,0.0,0.0
213,1,5533707.270808866,1209502.5254953708,0.21857002300712175
214,1,2054093.4001040994,1110692.4472986532,0.5407214916528938
215,1,6928934.886307828,1276852.4911377497,0.18427832157304871
216,1,583201.0546623401,583201.0546623401,1.0
217,1,612694.2107329927,54724.219953382926,0.08931734459823598
218,1,234504.88552399637,234504.88552399635,0.9999999999999999
219,1,938807.308391416,13816.522118068753,0.014717101150120409
220,1,398770.1556365803,398770.15563658037,1.0000000000000002
221,1,3671232.4406243386,1299135.8556587328,0.3538691370459231
222,1,220096.55041259277,220096.5504125928,1.0000000000000002
223,1,83306.962412875,83306.96241287501,1.0000000000000002
224,1,105194.95616673373,105194.95616673373,1.0
225,1,212875.1291559946,212875.12915599457,0.9999999999999999
226,1,241494.5592200346,241494.5592200346,1.0
227,1,249860.94991518874,249860.9499151887,0.9999999999999999
228,1,528002.7412020264,528002.7412020264,1.0
229,0,151848.5311094065,0.0,0.0
230,2,1192894.0305668528,930571.4458567165,0.7800956514255647
231,0,1149180.3470817062,0.0,0.0
232,1,2397640.0805491223,1290299.8278235155,0.5381540950583388
233,0,4303722.322982391,0.0,0.0
234,1,5819685.52483115,1413359.3944589181,0.24285837927641715
235,0,2887707.528781659,0.0,0.0
236,2,3791020.707364342,1006869.6349535757,0.26559328283215544
237,0,2732074.111079133,0.0,0.0
238,0,9229004.04525754,0.0,0.0
239,0,6544768.062378965,0.0,0.0
240,0,2703272.8670393033,0.0,0.0
241,0,5223517.571905101,0.0,0.0
242,2,1498599.4907917965,561783.6766636223,0.3748724593298771
243,1,2306454.952355941,1113267.6887182689,0.4826748025497379
244,1,4721925.786137088,1397088.2137696305,0.29587254799117885
245,1,224842.83215504515,224842.83215504518,1.0000000000000002
246,3,1631959.4086374058,664222.4168063872,0.407009153102022
247,1,1172463.393209974,1051745.9713022239,0.8970394959818322
248,1,1335009.1818542697,1168939.572910685,0.8756041447498353
249,1,314998.17096505646,314998.1709650564,0.9999999999999998
250,1,1196876.936501971,929209.2639767252,0.7763615753950949
251,1,187452.04402052643,187452.04402052643,1.0
252,1,614849.2164560347,614849.2164560347,1.0
253,1,226483.5901499365,226483.5901499365,1.0
254,1,730064.3729948392,727532.4755871131,0.9965319532066195
255,0,546224.7539006541,0.0,0.0
256,1,1727563.0603438218,1353706.4586858042,0.7835930796160853
257,1,1546859.9022305226,85605.14260440735,0.05534123838944138
258,0,3205877.32086858,0.0,0.0
259,0,1141785.4304078983,0.0,0.0
260,0,666761.7332628818,0.0,0.0
261,0,269827.81470466283,0.0,0.0
262,0,1913272.0073740059,0.0,0.0
263,1,3704232.509175862,882599.7150775825,0.23826790378068036
264,1,398806.7228796632,247006.99289992562,0.6193651679599644
265,2,2491017.9769913736,2360215.395639215,0.9474903101622171
266,1,1477832.6006666436,966668.9263975081,0.6541126010898989
267,2,457787.5609670568,457787.5609670568,1.0
268,1,548411.6523886316,548411.6523886316,1.0
269,2,2563916.9032522067,741823.5568707342,0.28933213706332145
270,0,1836422.194988366,0.0,0.0
