cluster_id,reference_pid,reference_name,center_distance_m,predicted_area_m2,reference_area_m2,area_ratio_predicted_to_reference,intersection_area_m2,iou,predicted_area_precision,reference_area_recall
99,74,龙口1号锚地,4832.139337526193,657615349.366591,336384798.13131315,1.9549496678202456,325284844.4568166,0.4864324817714347,0.49464302311393427,0.9670022137261878
101,29,防城锚地,9457.86554736112,1012104895.1088097,368127053.35829353,2.7493358227159157,368127053.3582935,0.3637242099483343,0.3637242099483342,0.9999999999999999
105,114,苍南2号锚地,9935.715429438322,544854194.9518592,224375504.0357952,2.428314076856345,191580405.34711522,0.33165522308477635,0.3516177486052803,0.8538383286107377
106,101,滨海锚地,8664.597721765811,693450925.1690726,338198689.30677253,2.0504246382222338,331562527.2447497,0.473601832246483,0.4781340902586731,0.9803779190403565
112,22,高栏锚地,7292.099721110457,484261097.4220996,161556806.15889606,2.997466395478343,154512483.03119677,0.31449374781636086,0.31906854350622776,0.9563972370141375
116,108,上海南港2号锚地,3714.589496180801,1885749697.4875214,311640974.61890507,6.051032601837866,311640974.618905,0.16526104977459108,0.1652610497745909,0.9999999999999998
123,171,靖海锚地,2848.599362746677,507635647.6224299,23146477.227123745,21.931443071931785,20790366.28148836,0.04076608284781449,0.04095529220389158,0.89820865946398
132,79,烟台2号锚地,1550.6346328086483,417476980.9859194,164538362.13311607,2.537262286883402,164538362.13311607,0.39412559165427524,0.39412559165427513,1.0
143,32,惠州锚地,1663.081370097831,933425419.2797942,546986594.4981935,1.706486829235953,495554636.9640888,0.5031740114160038,0.5308990163846677,0.9059721791147579
150,77,蓬莱2号锚地,2144.4494485471255,830308267.6560416,99407673.85245474,8.352557055991692,99407673.85245475,0.11972381550900656,0.11972381550900654,1.0000000000000002
151,38,广东陆丰甲湖湾电厂锚地,5150.60508478759,351840310.9126972,71947648.65931486,4.890226678271652,71947648.65931484,0.20448949829733223,0.20448949829733223,0.9999999999999998
152,36,汕头华能海门电厂锚地,9880.189692527489,346536226.97662187,34363443.086407885,10.084444277171132,34363443.08640789,0.09916262835263721,0.09916262835263723,1.0000000000000002
161,175,揭阳2号锚地,8405.957942907522,316852312.27306396,9360766.293415522,33.848971584296656,9360766.293415524,0.02954299505110885,0.02954299505110885,1.0000000000000002
162,43,福州2号锚地,1017.3349382435614,567244589.4171069,130977545.32412475,4.330853720104236,130977545.32412472,0.23090135678282192,0.23090135678282192,0.9999999999999998
163,81,威海锚地,2197.9979043971093,466870590.0468245,195618182.71892148,2.3866420981819383,194590310.7628452,0.4158814925996431,0.4167971059032201,0.9947455193490208
171,147,马迹山3号锚地,2192.8293516594777,518415358.5199904,29495152.479255483,17.57629016783697,29495152.479255486,0.05689482765992964,0.056894827659929634,1.0000000000000002
180,88,乳山1号锚地,921.5467162792891,231780440.43740624,35881248.069961175,6.459653799819931,35746327.39849404,0.15413522945430405,0.15422495242064035,0.9962397999310374
199,76,蓬莱1号锚地,1944.590391753254,527530661.74706167,57138668.781497285,9.232463286192052,57138668.78149729,0.10831345535872171,0.10831345535872172,1.0000000000000002
206,113,宁德3号锚地,2198.2675812773386,317322535.18206936,61281511.98605186,5.178112042246843,61085132.83652142,0.19238265841614435,0.19250171690917808,0.9967954584806077
207,90,海阳锚地,3904.314215664142,437848724.6406105,265570256.92745852,1.648711454762837,206271716.2254261,0.4149106926762746,0.4711026996703838,0.7767124173162583
218,82,张家埠锚地,7175.234099170166,559337964.4489756,167150850.52070946,3.3463064214541665,167150850.52070946,0.2988369485796943,0.2988369485796944,1.0
226,115,苍南1号锚地,4216.766628375515,482569021.6174639,100225992.24201556,4.814809121093111,100225992.24201556,0.2076925532975166,0.2076925532975166,1.0
257,46,海口1号锚地,4257.688682740203,239538246.7206166,64806277.602854595,3.6962198043305823,63465594.95721855,0.26347507905401013,0.2649497348590061,0.9793124571379951
266,148,马迹山4号锚地,3370.077404326923,532054540.71456516,29424687.009633478,18.08190994658239,29424687.00963348,0.05530389228539478,0.05530389228539474,1.0000000000000002
267,149,马迹山2号锚地,2626.528743656248,400525043.2958339,29249212.546180695,13.693532523771607,29249212.546180695,0.07302717529344796,0.07302717529344796,1.0
