cluster_id,lat,lon,count,dwell_minutes,center_method,type,polygon,distance_to_coast,inside_china_land
1833,21.852334933333335,113.26542213333333,2,508.7166666666667,duration_weighted_stop_medoid,berth,"POLYGON((113.26537766666667 21.852334933333335, 113.26542213333333 21.852334933333335, 113.26542213333333 21.85245433333333, 113.26537766666667 21.85245433333333, 113.26537766666667 21.852334933333335))",3458.5989176013736,False
1835,29.998911272727273,122.06659340909091,2,690.0,duration_weighted_stop_medoid,berth,"POLYGON((122.06658699999998 29.998879, 122.06659340909091 29.998879, 122.06659340909091 29.998911272727273, 122.06658699999998 29.998911272727273, 122.06658699999998 29.998879))",1951.8710678759512,False
1836,31.94584906818182,120.20843470454544,2,1807.4833333333333,duration_weighted_stop_medoid,berth,"POLYGON((120.207932 31.94513688888889, 120.20843470454544 31.94513688888889, 120.20843470454544 31.94584906818182, 120.207932 31.94584906818182, 120.207932 31.94513688888889))",1189.2894831360616,True
1837,21.61493196078431,109.56632482352941,3,3580.35,duration_weighted_stop_medoid,berth,"POLYGON((109.56630388636363 21.61493196078431, 109.56640779166668 21.61493196078431, 109.56640779166668 21.614971613636364, 109.56630388636363 21.614971613636364, 109.56630388636363 21.61493196078431))",1754.677545537687,False
1838,38.93925264516129,121.61208669354839,4,3006.116666666667,duration_weighted_stop_medoid,berth,"POLYGON((121.61208669354839 38.93925264516129, 121.61212014285714 38.93925264516129, 121.61212014285714 38.93933942857143, 121.61208669354839 38.93933942857143, 121.61208669354839 38.93925264516129))",1363.076873362344,False
1839,39.02558688405797,121.74451724637682,2,2226.7666666666664,duration_weighted_stop_medoid,berth,"POLYGON((121.74451724637682 39.025453600000006, 121.7446878 39.025453600000006, 121.7446878 39.02558688405797, 121.74451724637682 39.02558688405797, 121.74451724637682 39.025453600000006))",1019.322541203769,False
1840,27.230277407407407,120.33010283333333,2,3430.733333333333,duration_weighted_stop_medoid,berth,"POLYGON((120.32913144444446 27.230277407407407, 120.33010283333333 27.230277407407407, 120.33010283333333 27.230294555555556, 120.32913144444446 27.230294555555556, 120.32913144444446 27.230277407407407))",265.2857732109224,True
1843,40.70248445,120.96116013333334,6,21308.8,duration_weighted_stop_medoid,berth,"POLYGON((120.96114414285715 40.70190402586207, 120.96187977586206 40.70190402586207, 120.96187977586206 40.70249430708661, 120.96114414285715 40.70249430708661, 120.96114414285715 40.70190402586207))",566.030482236081,False
1844,31.343903339805824,121.54145252427183,2,4461.133333333333,duration_weighted_stop_medoid,berth,"POLYGON((121.54144672093024 31.343869674418603, 121.54145252427183 31.343869674418603, 121.54145252427183 31.343903339805824, 121.54144672093024 31.343903339805824, 121.54144672093024 31.343869674418603))",2877.6938347116907,True
1845,35.107909553846156,119.38328459230769,5,28198.316666666666,duration_weighted_stop_medoid,berth,"POLYGON((119.38301940239043 35.10788648214286, 119.38329398540145 35.10788648214286, 119.38329398540145 35.10887854074074, 119.38301940239043 35.10887854074074, 119.38301940239043 35.10788648214286))",1843.4332792427056,False
1847,40.80025292753623,121.07550331884059,2,3977.2833333333333,duration_weighted_stop_medoid,berth,"POLYGON((121.07550331884059 40.800250890625, 121.075509890625 40.800250890625, 121.075509890625 40.80025292753623, 121.07550331884059 40.80025292753623, 121.07550331884059 40.800250890625))",920.14469601175,False
1848,39.57823121052631,121.28003233333334,2,3448.5333333333333,duration_weighted_stop_medoid,berth,"POLYGON((121.28003233333334 39.57823121052631, 121.28003501694914 39.57823121052631, 121.28003501694914 39.57824211864407, 121.28003233333334 39.57824211864407, 121.28003233333334 39.57823121052631))",13.654705187831055,False
1852,30.0643335,121.847965,6,908.85,duration_weighted_stop_medoid,berth,"POLYGON((121.84795100000001 30.064325666666665, 121.84802119999999 30.064325666666665, 121.84802119999999 30.064396999999996, 121.84795100000001 30.064396999999996, 121.84795100000001 30.064325666666665))",781.0036510687944,True
1854,31.03407761111111,121.47711338888888,2,596.8833333333333,duration_weighted_stop_medoid,berth,"POLYGON((121.47711338888888 31.03407761111111, 121.47724539999999 31.03407761111111, 121.47724539999999 31.034162, 121.47711338888888 31.034162, 121.47711338888888 31.03407761111111))",29170.119933943784,True
1855,29.64011901574803,121.93736566535433,8,30887.333333333332,duration_weighted_stop_medoid,berth,"POLYGON((121.93734514705883 29.64010608, 121.93737157333334 29.64010608, 121.93737157333334 29.640136852941176, 121.93734514705883 29.640136852941176, 121.93734514705883 29.64010608))",1338.0529767247456,False
1858,26.9371049,120.24122159999999,8,3249.4333333333334,duration_weighted_stop_medoid,berth,"POLYGON((120.241156125 26.93705425, 120.2415121 26.93705425, 120.2415121 26.93785168421053, 120.241156125 26.93785168421053, 120.241156125 26.93705425))",919.4846681438993,False
1860,22.444759483870968,113.01265824731183,2,2798.0666666666666,duration_weighted_stop_medoid,berth,"POLYGON((113.0125708 22.4446914, 113.01265824731183 22.4446914, 113.01265824731183 22.444759483870968, 113.0125708 22.444759483870968, 113.0125708 22.4446914))",17213.02243595566,True
1861,31.471743591836734,121.42121357142858,30,52800.38333333333,duration_weighted_stop_medoid,berth,"POLYGON((121.42111430645161 31.471702363636364, 121.4212342 31.471702363636364, 121.4212342 31.4718306744186, 121.42111430645161 31.4718306744186, 121.42111430645161 31.471702363636364))",2380.559541696829,False
1863,29.196775833333334,121.77610433333332,5,763.55,duration_weighted_stop_medoid,berth,"POLYGON((121.77555849999999 29.196775833333334, 121.77642349999999 29.196775833333334, 121.77642349999999 29.19799666666667, 121.77555849999999 29.19799666666667, 121.77555849999999 29.196775833333334))",1279.4342508140144,False
1864,29.4988065,121.501707,2,502.43333333333334,duration_weighted_stop_medoid,berth,"POLYGON((121.501707 29.4988065, 121.50182325 29.4988065, 121.50182325 29.499784, 121.501707 29.499784, 121.501707 29.4988065))",1947.6518679815256,False
1866,29.1905278,121.7751,3,382.9666666666667,duration_weighted_stop_medoid,berth,"POLYGON((121.7747335 29.189645666666667, 121.7751 29.189645666666667, 121.7751 29.1905278, 121.7747335 29.1905278, 121.7747335 29.189645666666667))",1335.8569782148616,False
