cluster_id,lat,lon,count,type,polygon,distance_to_coast,inside_china_land
106,36.67177689843224,121.23530653659562,5,berth,"POLYGON((121.23523965217392 36.671162625, 121.23533452500001 36.671162625, 121.23533452500001 36.672609040000005, 121.23523965217392 36.672609040000005, 121.23523965217392 36.671162625))",2395.7847199463245,False
107,21.572069277637013,108.35827297166135,33,berth,"POLYGON((108.35751994736843 21.570296368421054, 108.35904584057971 21.570296368421054, 108.35904584057971 21.57456691304348, 108.35751994736843 21.57456691304348, 108.35751994736843 21.570296368421054))",3512.6674462120795,False
109,25.983054451690766,119.4708406376903,24,berth,"POLYGON((119.47030789361702 25.982506880000003, 119.4711575 25.982506880000003, 119.4711575 25.983342714285715, 119.47030789361702 25.983342714285715, 119.47030789361702 25.982506880000003))",72.74096065212642,False
110,21.619034600567147,108.37234534240521,24,berth,"POLYGON((108.37148629411764 21.617657352941176, 108.37351056923077 21.617657352941176, 108.37351056923077 21.62081313846154, 108.37148629411764 21.62081313846154, 108.37148629411764 21.617657352941176))",3489.7290413518003,False
112,31.923968359038525,120.18763523303464,24,berth,"POLYGON((120.18585882926828 31.9238372, 120.18988015 31.9238372, 120.18988015 31.924147607142856, 120.18585882926828 31.924147607142856, 120.18585882926828 31.9238372))",1671.5548704373603,False
113,40.30885492663025,122.07744948590991,54,berth,"POLYGON((122.07375414285715 40.30273721428572, 122.0814538961039 40.30273721428572, 122.0814538961039 40.3142518, 122.07375414285715 40.3142518, 122.07375414285715 40.30273721428572))",3196.518182831893,False
116,31.807685964229364,120.95119608805487,10,berth,"POLYGON((120.95035680000001 31.807309666666665, 120.95151345454546 31.807309666666665, 120.95151345454546 31.8081398, 120.95035680000001 31.8081398, 120.95035680000001 31.807309666666665))",2053.4276339703333,False
117,31.94612229012866,120.18155664338492,37,berth,"POLYGON((120.17917382 31.945092333333335, 120.18288468 31.945092333333335, 120.18288468 31.946410949152543, 120.17917382 31.946410949152543, 120.17917382 31.945092333333335))",1237.1248860081648,True
122,26.458268506834575,119.69956547131804,37,berth,"POLYGON((119.69571873076923 26.456746578947367, 119.70214730769231 26.456746578947367, 119.70214730769231 26.46044214102564, 119.69571873076923 26.46044214102564, 119.69571873076923 26.456746578947367))",386.26357380391573,True
124,25.73109263466729,119.6207641102819,36,berth,"POLYGON((119.61986343589743 25.729530999999998, 119.62176645945945 25.729530999999998, 119.62176645945945 25.73288721875, 119.61986343589743 25.73288721875, 119.61986343589743 25.729530999999998))",2066.953887637883,False
125,35.0916129592105,119.37297059927614,8,berth,"POLYGON((119.37276245454545 35.090082621621626, 119.37324589189188 35.090082621621626, 119.37324589189188 35.0927434032258, 119.37276245454545 35.0927434032258, 119.37276245454545 35.090082621621626))",1824.4997916100615,False
126,31.943978216371544,120.20542877440441,30,berth,"POLYGON((120.20361172222222 31.943821749999998, 120.20698675 31.943821749999998, 120.20698675 31.944205099999998, 120.20361172222222 31.944205099999998, 120.20361172222222 31.943821749999998))",945.2015708452271,True
127,32.0449993047619,119.94852235952382,2,berth,"POLYGON((119.94829278571429 32.04494414285714, 119.94875193333334 32.04494414285714, 119.94875193333334 32.04505446666666, 119.94829278571429 32.04505446666666, 119.94829278571429 32.04494414285714))",1992.8310104874079,False
128,32.312275835475575,119.82686678967076,30,berth,"POLYGON((119.8261698695652 32.3118429375, 119.82726931506848 32.3118429375, 119.82726931506848 32.31294358695652, 119.8261698695652 32.31294358695652, 119.8261698695652 32.3118429375))",405.0797866146747,True
129,35.16086358531245,119.39708322055488,214,berth,"POLYGON((119.38990697058823 35.1606826, 119.4059923877551 35.1606826, 119.4059923877551 35.16095996153847, 119.38990697058823 35.16095996153847, 119.38990697058823 35.1606826))",1982.187005404733,False
130,34.74979823069566,119.4017199735849,8,berth,"POLYGON((119.40051330000001 34.749682395348835, 119.40255475 34.749682395348835, 119.40255475 34.749848, 119.40051330000001 34.749848, 119.40051330000001 34.749682395348835))",177.99628928674707,True
131,34.74635946311543,119.41410314744499,15,berth,"POLYGON((119.413903 34.7459588, 119.41422685 34.7459588, 119.41422685 34.74656485483871, 119.413903 34.74656485483871, 119.413903 34.7459588))",569.376320061466,True
133,34.612082186259926,119.55445577453611,38,berth,"POLYGON((119.55330825 34.61000527142858, 119.55638304285715 34.61000527142858, 119.55638304285715 34.61601616666667, 119.55330825 34.61601616666667, 119.55330825 34.61000527142858))",1069.8494384886799,False
134,35.30979169664147,119.51571467062884,20,berth,"POLYGON((119.5153366 35.30612470833333, 119.51584935999999 35.30612470833333, 119.51584935999999 35.3109822, 119.5153366 35.3109822, 119.5153366 35.30612470833333))",3200.2463035098353,False
135,32.02528642141698,120.77940096998687,30,berth,"POLYGON((120.77846354285715 32.02511788888889, 120.77977066 32.02511788888889, 120.77977066 32.025554514285716, 120.77846354285715 32.025554514285716, 120.77846354285715 32.02511788888889))",460.74805627067553,False
136,32.12010659396997,121.50395914579269,20,berth,"POLYGON((121.50365325 32.1199942, 121.5040629390244 32.1199942, 121.5040629390244 32.120231674418605, 121.50365325 32.120231674418605, 121.50365325 32.1199942))",1341.3925765450097,False
137,35.36784472012621,119.54862777844052,66,berth,"POLYGON((119.54726095652175 35.363394695652175, 119.55029262337662 35.363394695652175, 119.55029262337662 35.371215467532465, 119.54726095652175 35.371215467532465, 119.54726095652175 35.363394695652175))",850.9513861791077,False
138,39.92615953589743,119.64652771965812,3,berth,"POLYGON((119.64634833333332 39.926118, 119.64679563333334 39.926118, 119.64679563333334 39.9262098, 119.64634833333332 39.9262098, 119.64634833333332 39.926118))",142.30170168068528,True
139,35.37382244942444,119.55191104345127,37,berth,"POLYGON((119.5507918955224 35.37244286666667, 119.55270082142856 35.37244286666667, 119.55270082142856 35.37624315217391, 119.5507918955224 35.37624315217391, 119.5507918955224 35.37244286666667))",589.7991833682123,False
140,38.94843716587032,121.84767193347676,114,berth,"POLYGON((121.84739925 38.948158166666666, 121.848253 38.948158166666666, 121.848253 38.94992990909091, 121.84739925 38.94992990909091, 121.84739925 38.948158166666666))",86.82491819509116,True
141,32.00076613333333,120.75392487777778,2,berth,"POLYGON((120.7533802 32.000552666666664, 120.75446955555556 32.000552666666664, 120.75446955555556 32.0009796, 120.7533802 32.0009796, 120.7533802 32.000552666666664))",2888.1072256296793,False
142,31.380420779484286,121.49877920717607,59,berth,"POLYGON((121.49862985714286 31.379981076923077, 121.49896642857142 31.379981076923077, 121.49896642857142 31.38099557142857, 121.49862985714286 31.38099557142857, 121.49862985714286 31.379981076923077))",1573.7791270031316,True
143,31.740061227570827,121.04275848677506,23,berth,"POLYGON((121.04189805769231 31.739690666666668, 121.04362788888888 31.739690666666668, 121.04362788888888 31.74045640740741, 121.04189805769231 31.74045640740741, 121.04189805769231 31.739690666666668))",886.5088917547006,False
144,31.970765103517916,120.43637450292249,47,berth,"POLYGON((120.43498826562501 31.97010585714286, 120.43762577777778 31.97010585714286, 120.43762577777778 31.971371, 120.43498826562501 31.971371, 120.43498826562501 31.97010585714286))",701.5513734983437,True
147,31.966647116251323,120.37405418204735,23,berth,"POLYGON((120.37120030909092 31.96556160909091, 120.375 31.96556160909091, 120.375 31.966857615384615, 120.37120030909092 31.966857615384615, 120.37120030909092 31.96556160909091))",595.0363307162843,False
148,30.00230911873732,122.07183337662026,18,berth,"POLYGON((122.0716090923077 30.001392861538463, 122.07244033333335 30.001392861538463, 122.07244033333335 30.002886666666665, 122.0716090923077 30.002886666666665, 122.0716090923077 30.001392861538463))",1846.3355272229996,False
151,31.965529547586023,120.36942222096991,7,berth,"POLYGON((120.36917968421051 31.9647146056338, 120.36975144927537 31.9647146056338, 120.36975144927537 31.966207114348144, 120.36917968421051 31.966207114348144, 120.36917968421051 31.9647146056338))",554.5410044073004,False
152,38.97952188235294,121.75970420588234,2,berth,"POLYGON((121.75923041176469 38.979260764705884, 121.760178 38.979260764705884, 121.760178 38.979783000000005, 121.75923041176469 38.979783000000005, 121.75923041176469 38.979260764705884))",3919.558245712602,False
153,30.00190658098026,122.07001590284717,5,berth,"POLYGON((122.06994922580645 30.001771735353536, 122.07008256818182 30.001771735353536, 122.07008256818182 30.002035227272724, 122.06994922580645 30.002035227272724, 122.06994922580645 30.001771735353536))",1817.8469848852924,False
154,38.07655531211827,118.94658267999681,25,berth,"POLYGON((118.94543893333334 38.075402355932205, 118.94737466304348 38.075402355932205, 118.94737466304348 38.078396500000004, 118.94543893333334 38.078396500000004, 118.94543893333334 38.075402355932205))",971.7788684597873,False
155,30.64218392522109,121.18083722852757,57,berth,"POLYGON((121.17860809859154 30.641212531249998, 121.18252570270269 30.641212531249998, 121.18252570270269 30.642938461538463, 121.17860809859154 30.642938461538463, 121.17860809859154 30.641212531249998))",566.0289817997699,False
156,31.989630061987494,119.95799042372009,22,berth,"POLYGON((119.95740014999998 31.98913675, 119.95849423076923 31.98913675, 119.95849423076923 31.99010285, 119.95740014999998 31.99010285, 119.95740014999998 31.98913675))",368.7722752494585,True
157,38.998412230254736,121.89512601972955,11,berth,"POLYGON((121.89357851851852 38.996642666666666, 121.89587952325581 38.996642666666666, 121.89587952325581 38.9992248362069, 121.89357851851852 38.9992248362069, 121.89357851851852 38.996642666666666))",1462.4978121065267,False
159,31.369942982478396,121.50145984152617,48,berth,"POLYGON((121.50122925 31.3698272, 121.50154311764705 31.3698272, 121.50154311764705 31.370124, 121.50122925 31.370124, 121.50122925 31.3698272))",2507.959073202225,True
160,25.6992790123798,119.60500138656005,33,berth,"POLYGON((119.60423446296296 25.697957934782607, 119.6061514736842 25.697957934782607, 119.6061514736842 25.70119860526316, 119.60423446296296 25.70119860526316, 119.60423446296296 25.697957934782607))",1315.1767288939513,False
161,40.80210419655048,121.04371424246433,23,berth,"POLYGON((121.04248689795918 40.80008525757576, 121.04507648780486 40.80008525757576, 121.04507648780486 40.8039232, 121.04248689795918 40.8039232, 121.04248689795918 40.80008525757576))",413.937191231938,False
162,25.58807316831567,119.68844800469996,7,berth,"POLYGON((119.68833593478261 25.587914473684208, 119.68904212683499 25.587914473684208, 119.68904212683499 25.58859266764533, 119.68833593478261 25.58859266764533, 119.68833593478261 25.587914473684208))",775.2839258367545,False
164,25.75626771511668,119.63223708938744,61,berth,"POLYGON((119.63177644444444 25.752446136363634, 119.63261566666668 25.752446136363634, 119.63261566666668 25.761018333333336, 119.63177644444444 25.761018333333336, 119.63177644444444 25.752446136363634))",1361.9744102869342,False
165,38.97850579001119,121.8058472880791,7,berth,"POLYGON((121.80557436842106 38.97811189473684, 121.80623023076924 38.97811189473684, 121.80623023076924 38.978840695652174, 121.80557436842106 38.978840695652174, 121.80557436842106 38.97811189473684))",158.5282971103536,False
166,25.58306989933626,119.68719274437005,4,berth,"POLYGON((119.68635391983122 25.582327338888888, 119.68790354444445 25.582327338888888, 119.68790354444445 25.583711834782612, 119.68635391983122 25.583711834782612, 119.68635391983122 25.582327338888888))",1187.5610707665862,False
169,31.27827544987444,121.73747331278237,20,berth,"POLYGON((121.73702155882353 31.277897303030304, 121.73789642857142 31.277897303030304, 121.73789642857142 31.27867944117647, 121.73702155882353 31.27867944117647, 121.73702155882353 31.277897303030304))",902.7290263718354,False
170,40.284420343553485,122.09170997819301,19,berth,"POLYGON((122.09141366666667 40.28428780769231, 122.0918296923077 40.28428780769231, 122.0918296923077 40.2845315, 122.09141366666667 40.2845315, 122.09141366666667 40.28428780769231))",1833.4451414840564,False
171,39.10047109911819,118.5014777237602,85,berth,"POLYGON((118.49855566666666 39.09598344444444, 118.50453385185185 39.09598344444444, 118.50453385185185 39.10274053846154, 118.49855566666666 39.10274053846154, 118.49855566666666 39.09598344444444))",1114.2860688600585,False
172,30.048689043070397,121.98084207603162,5,berth,"POLYGON((121.98041241772151 30.047635, 121.98154390163934 30.047635, 121.98154390163934 30.049406784810124, 121.98041241772151 30.049406784810124, 121.98041241772151 30.047635))",61.94975486377582,False
173,26.010499600200802,119.48044149477333,41,berth,"POLYGON((119.47996865384616 26.009386000000003, 119.4812892173913 26.009386000000003, 119.4812892173913 26.01254139130435, 119.47996865384616 26.01254139130435, 119.47996865384616 26.009386000000003))",40.871346686085026,True
174,25.98276032344904,119.44931347634262,26,berth,"POLYGON((119.4477866 25.982389636363635, 119.45048921052631 25.982389636363635, 119.45048921052631 25.98312536, 119.4477866 25.98312536, 119.4477866 25.982389636363635))",89.94088949794576,True
177,40.28680185353299,122.09357483572164,28,berth,"POLYGON((122.09037144186047 40.28522549090909, 122.09706742857142 40.28522549090909, 122.09706742857142 40.28882747826087, 122.09037144186047 40.28882747826087, 122.09037144186047 40.28522549090909))",1642.3599857678362,False
178,40.804952789615946,121.06593361821665,19,berth,"POLYGON((121.06508584946236 40.80395600000001, 121.06633695555556 40.80395600000001, 121.06633695555556 40.80545233333333, 121.06508584946236 40.80545233333333, 121.06508584946236 40.80395600000001))",236.49963879753113,True
179,35.33585068779255,119.53419703860338,12,berth,"POLYGON((119.53401561111112 35.33527916129032, 119.53432881818183 35.33527916129032, 119.53432881818183 35.33617127586207, 119.53401561111112 35.33617127586207, 119.53401561111112 35.33527916129032))",2252.256256544971,False
182,31.573091272864424,121.49898637666064,13,berth,"POLYGON((121.49831979591836 31.572860409836064, 121.49935580327869 31.572860409836064, 121.49935580327869 31.57344541666667, 121.49831979591836 31.57344541666667, 121.49831979591836 31.572860409836064))",214.6761498083577,False
183,31.38321913297758,121.67970117227495,16,berth,"POLYGON((121.67926349999999 31.3827, 121.68039104545454 31.3827, 121.68039104545454 31.38342, 121.67926349999999 31.38342, 121.67926349999999 31.3827))",166.57461734712183,True
184,38.759391754484085,117.5936197677856,38,berth,"POLYGON((117.589877748538 38.75852337837838, 117.59824 38.75852337837838, 117.59824 38.76018181578947, 117.589877748538 38.76018181578947, 117.589877748538 38.75852337837838))",2011.5234819184957,False
185,26.745457526812544,119.63720992869001,46,berth,"POLYGON((119.63414934615386 26.744151111111112, 119.6406989090909 26.744151111111112, 119.6406989090909 26.746611440000002, 119.63414934615386 26.746611440000002, 119.63414934615386 26.744151111111112))",720.7855459977691,False
186,31.596611210702342,121.44270710144926,2,berth,"POLYGON((121.44269833333333 31.596602769230767, 121.4427158695652 31.596602769230767, 121.4427158695652 31.596619652173914, 121.44269833333333 31.596619652173914, 121.44269833333333 31.596602769230767))",117.9549828374688,False
187,31.34730896111111,121.71421545555556,3,berth,"POLYGON((121.71381650000001 31.34680675, 121.71448519999998 31.34680675, 121.71448519999998 31.348022333333333, 121.71381650000001 31.348022333333333, 121.71381650000001 31.34680675))",1447.8309597032844,False
188,31.351330435714285,121.67717675714286,2,berth,"POLYGON((121.67707479999999 31.3507228, 121.67727871428572 31.3507228, 121.67727871428572 31.35193807142857, 121.67707479999999 31.35193807142857, 121.67707479999999 31.3507228))",3418.3767404024165,False
189,40.70541738002851,120.9628257545554,55,berth,"POLYGON((120.95993263999999 40.70379988888889, 120.96627428571428 40.70379988888889, 120.96627428571428 40.70686383333334, 120.95993263999999 40.70686383333334, 120.95993263999999 40.70379988888889))",405.47443841608765,False
190,38.078446114492756,118.95451663623189,2,berth,"POLYGON((118.95444773913044 38.07843769565218, 118.95458553333333 38.07843769565218, 118.95458553333333 38.078454533333336, 118.95444773913044 38.078454533333336, 118.95444773913044 38.07843769565218))",1640.800716054161,False
191,26.462025015686525,119.69272268514379,18,berth,"POLYGON((119.69222386842105 26.461206166666667, 119.69435988888888 26.461206166666667, 119.69435988888888 26.46230853488372, 119.69222386842105 26.46230853488372, 119.69222386842105 26.461206166666667))",435.86280896643245,True
192,30.112393680806438,122.2070908032637,11,berth,"POLYGON((122.20570124242424 30.11218306818182, 122.20846768181818 30.11218306818182, 122.20846768181818 30.11255015151515, 122.20570124242424 30.11255015151515, 122.20570124242424 30.11218306818182))",1690.5951649121507,False
194,26.469942898398678,119.63314379865972,51,berth,"POLYGON((119.63207267647059 26.469445, 119.63441669767442 26.469445, 119.63441669767442 26.470412139534886, 119.63207267647059 26.470412139534886, 119.63207267647059 26.469445))",668.7463931938595,False
195,31.945302812419772,120.19054224152329,21,berth,"POLYGON((120.18846416666668 31.94507283333333, 120.19237242335767 31.94507283333333, 120.19237242335767 31.945487916666668, 120.18846416666668 31.945487916666668, 120.18846416666668 31.94507283333333))",1125.6110702945552,True
196,31.98731362027607,120.33762140988631,14,berth,"POLYGON((120.33516000000002 31.985195916666665, 120.34052000000001 31.985195916666665, 120.34052000000001 31.989874800000003, 120.33516000000002 31.989874800000003, 120.33516000000002 31.985195916666665))",1565.7765078756022,False
197,32.00275450252525,120.35050469264068,3,berth,"POLYGON((120.35043671428572 32.002720249999996, 120.3505955 32.002720249999996, 120.3505955 32.00278959090909, 120.35043671428572 32.00278959090909, 120.35043671428572 32.002720249999996))",1191.7913730063333,False
199,19.953987386676143,110.01179809814775,21,berth,"POLYGON((110.01028875 19.95149520689655, 110.01311794444445 19.95149520689655, 110.01311794444445 19.95701872, 110.01028875 19.95701872, 110.01028875 19.95149520689655))",232.39865909379142,False
202,19.10141260730396,108.6232657438897,11,berth,"POLYGON((108.62270353333334 19.10111175, 108.62546466911765 19.10111175, 108.62546466911765 19.10252594852941, 108.62270353333334 19.10252594852941, 108.62270353333334 19.10111175))",537.6266332830822,True
203,29.916678387317194,121.92607177309654,109,berth,"POLYGON((121.92571720689656 29.91421773333333, 121.92715875 29.91421773333333, 121.92715875 29.917384108695654, 121.92571720689656 29.917384108695654, 121.92571720689656 29.91421773333333))",953.1063294525632,False
204,39.84106419013489,124.16258074318088,10,berth,"POLYGON((124.16228899999999 39.84065425925925, 124.16298545 39.84065425925925, 124.16298545 39.841849675, 124.16228899999999 39.841849675, 124.16228899999999 39.84065425925925))",2398.883135718476,False
205,21.47869832658382,111.0722563051227,11,berth,"POLYGON((111.07145388235294 21.477674914728684, 111.07384579069767 21.477674914728684, 111.07384579069767 21.479611352941177, 111.07145388235294 21.479611352941177, 111.07145388235294 21.477674914728684))",784.6095110910354,False
207,21.71407341666667,111.80849387833334,2,berth,"POLYGON((111.80845665 21.7140503, 111.80853110666666 21.7140503, 111.80853110666666 21.714096533333336, 111.80845665 21.714096533333336, 111.80845665 21.7140503))",2877.20769077074,False
208,21.717187302723193,111.80938471443596,13,berth,"POLYGON((111.80900062790698 21.715625448275862, 111.8100623125 21.715625448275862, 111.8100623125 21.719555125, 111.80900062790698 21.719555125, 111.80900062790698 21.715625448275862))",2612.249509117786,False
209,39.50140777647473,121.27218881687732,8,berth,"POLYGON((121.27214072307693 39.50066580487805, 121.27231656097561 39.50066580487805, 121.27231656097561 39.50240783544304, 121.27214072307693 39.50240783544304, 121.27214072307693 39.50066580487805))",1879.4962626033528,False
210,24.40200210640584,117.97959308264929,29,berth,"POLYGON((117.97868722222222 24.401746254901962, 117.98114411764706 24.401746254901962, 117.98114411764706 24.402426000000002, 117.97868722222222 24.402426000000002, 117.97868722222222 24.401746254901962))",1019.4013140810778,False
211,21.586541531439394,109.59952341818182,4,berth,"POLYGON((109.59910063636363 21.58524291666667, 109.600136 21.58524291666667, 109.600136 21.587866636363636, 109.59910063636363 21.587866636363636, 109.59910063636363 21.58524291666667))",1097.72251458983,False
212,26.78936423140837,119.7133390553863,24,berth,"POLYGON((119.71238623529412 26.78791927272727, 119.71419672 26.78791927272727, 119.71419672 26.79107311111111, 119.71238623529412 26.79107311111111, 119.71238623529412 26.78791927272727))",1044.316783876186,False
213,25.20850368293498,118.96021214466117,4,berth,"POLYGON((118.95970296428571 25.208386807692307, 118.96128664 25.208386807692307, 118.96128664 25.20861668, 118.95970296428571 25.20861668, 118.95970296428571 25.208386807692307))",1684.2119118589858,False
214,25.684856617116438,119.57808301247213,22,berth,"POLYGON((119.575725125 25.68413275, 119.57993445454545 25.68413275, 119.57993445454545 25.68534527272727, 119.575725125 25.68534527272727, 119.575725125 25.68413275))",609.3894580615903,True
217,21.61383164016552,109.56893527219583,10,berth,"POLYGON((109.56852635897437 21.6135194, 109.56917613095237 21.6135194, 109.56917613095237 21.61422307692308, 109.56852635897437 21.61422307692308, 109.56852635897437 21.6135194))",1912.4621877844759,False
218,31.379849534529626,121.68373148221407,11,berth,"POLYGON((121.6832368 31.379417733333334, 121.68424919230769 31.379417733333334, 121.68424919230769 31.380163399999997, 121.6832368 31.380163399999997, 121.6832368 31.379417733333334))",58.73506060688889,True
219,29.71459365338488,122.19402454340234,11,berth,"POLYGON((122.19368373333333 29.714287604651165, 122.19456142105264 29.714287604651165, 122.19456142105264 29.714792021276597, 122.19368373333333 29.714792021276597, 122.19368373333333 29.714287604651165))",2900.781291139801,False
