prediction_index,reference_index,overlap_area_m2,relation
282,529,560328.9160324075,部分重叠
284,284,831794.4090100852,部分重叠
286,617,1048555.691861005,部分重叠
287,484,2478777.126028328,部分重叠
288,783,685460.8682946616,部分重叠
289,852,846797.9409150183,部分重叠
290,865,530958.979228842,部分重叠
291,686,2179573.4710683734,部分重叠
292,856,101890.1977625499,部分重叠
292,858,279188.71634757693,部分重叠
292,857,326251.14494935574,预测包含真实
293,850,482922.46110458183,部分重叠
293,851,384321.32534577645,预测包含真实
294,440,199348.79633686916,部分重叠
294,471,2457718.544833582,部分重叠
295,854,600433.4505046813,部分重叠
295,599,105086.65739934186,预测包含真实
295,853,247942.10396802326,部分重叠
296,600,536400.1561102105,部分重叠
297,801,600563.6177623732,部分重叠
297,709,107196.71796799438,部分重叠
298,108,1461818.829178604,部分重叠
299,418,419852.01659046195,部分重叠
299,290,1517217.602320575,部分重叠
300,293,119066.72553165497,部分重叠
300,564,627415.1479850188,部分重叠
301,82,1091759.780231541,部分重叠
302,234,1243163.5851358494,部分重叠
303,41,1378700.6850164484,真实包含预测
306,328,252879.60963269946,部分重叠
306,641,573378.6580558046,部分重叠
307,77,951178.161719992,部分重叠
308,469,208359.0211977009,部分重叠
308,795,1064812.1702616792,部分重叠
309,794,927699.8013740153,部分重叠
309,468,494966.73510914895,部分重叠
310,666,2000170.5886141644,真实包含预测
311,771,977377.9244444992,部分重叠
312,619,42994.520915816596,部分重叠
312,74,720899.3547497622,部分重叠
319,607,427043.0099449825,部分重叠
320,5,89740.77228103824,部分重叠
320,4,230687.42432990688,部分重叠
320,6,117145.11890506306,预测包含真实
320,7,99321.97778675886,预测包含真实
321,399,1104531.683828218,部分重叠
323,232,1133025.470249986,部分重叠
326,902,21204.040636413967,部分重叠
326,903,738343.7297735009,部分重叠
327,209,910003.9168246016,真实包含预测
328,465,2095468.3297225062,部分重叠
329,487,44726.34452633858,部分重叠
330,209,1917924.060688932,部分重叠
332,209,1269553.2649728472,真实包含预测
337,650,57770.30472950718,部分重叠
337,649,287547.6260007312,预测包含真实
337,648,350147.00772261893,部分重叠
339,333,1006527.6783655769,部分重叠
339,332,24802.88156504529,部分重叠
341,69,843942.4804429075,部分重叠
343,720,762988.6445338412,部分重叠
344,257,30593.879716385665,部分重叠
344,256,1251654.364064721,部分重叠
345,131,34025.510457824224,部分重叠
345,132,786151.2588246185,部分重叠
346,820,1824619.3370898997,部分重叠
347,837,560683.2639782759,部分重叠
348,886,64264.7556528369,部分重叠
348,518,526092.7344449183,预测包含真实
348,454,223631.39526323834,部分重叠
349,614,1730589.203833225,部分重叠
349,474,106361.98066516848,部分重叠
349,615,1182169.824169561,部分重叠
350,783,433919.0024274576,部分重叠
351,316,187606.441611367,部分重叠
351,317,269930.22473986977,预测包含真实
352,500,678902.2535081364,预测包含真实
352,862,30771.636567721536,部分重叠
