reference_index,overlapping_prediction_count,reference_area_m2,overlap_area_m2,reference_area_recall
155,2,402884.51923090155,402884.5192309016,1.0000000000000002
156,1,579426.7479760875,577643.9872546631,0.9969232336483405
157,1,476554.17994898104,469440.1207126592,0.985071877373768
158,1,252731.37664468717,252731.3766446872,1.0000000000000002
159,1,231875.5391738818,231875.5391738818,1.0
160,1,1120431.3011905816,753370.3172707781,0.6723931368841973
161,2,10063372.29105009,2437305.2033056132,0.2421956708759789
162,0,7869320.805739952,0.0,0.0
163,1,285154.9413086448,285154.9413086448,1.0
164,0,624604.7894737499,0.0,0.0
165,0,483560.05333877745,0.0,0.0
166,1,267290.19057721033,267290.19057721033,1.0
167,1,178318.84473868302,178318.84473868302,1.0
168,1,332858.90548148943,332858.90548148943,1.0
169,2,692058.4555881227,692058.4555881228,1.0000000000000002
170,0,1431148.6492743052,0.0,0.0
171,1,223105.93915302653,223105.9391530265,0.9999999999999999
172,2,649454.3886183642,466763.8477499736,0.7187015068801942
173,1,571807.682515317,571807.682515317,1.0
174,1,1476560.1145442778,1004595.9373238519,0.6803623688791757
175,1,599057.7148405976,388687.5505266379,0.6488315581246845
176,1,745722.4043892256,145964.73175293283,0.19573601502892135
177,1,1561284.6854647186,167953.10763510122,0.10757365981919545
178,1,481515.3992672056,481515.39926720574,1.0000000000000002
179,0,1145276.8860911396,0.0,0.0
180,0,586688.8975123035,0.0,0.0
181,0,489956.6323122084,0.0,0.0
182,1,245700.32800521553,245700.32800521553,1.0
183,0,263447.1319393599,0.0,0.0
184,0,364793.5963829895,0.0,0.0
185,0,142163.94631718213,0.0,0.0
186,0,288339.42712184304,0.0,0.0
187,0,813424.1802692931,0.0,0.0
188,0,171355.8261334069,0.0,0.0
189,0,156666.34729041805,0.0,0.0
190,0,532149.3346927515,0.0,0.0
191,0,480094.6459163018,0.0,0.0
192,0,854858.0724003976,0.0,0.0
193,0,918850.8828292862,0.0,0.0
194,0,857687.0140879443,0.0,0.0
195,0,921610.492025956,0.0,0.0
196,1,406146.7465422575,136942.40234394744,0.3371746874985721
197,1,588334.9779171811,421177.19900016533,0.7158799235279425
198,0,1262985.9669456035,0.0,0.0
199,0,409876.31979457947,0.0,0.0
200,0,410239.86305882566,0.0,0.0
201,1,285990.2068750522,139797.5703166629,0.4888194314210899
202,0,348601.94400462875,0.0,0.0
203,1,177281.30639415642,5954.3965334075765,0.03358727806398795
204,0,546046.4571171722,0.0,0.0
205,0,223371.8125155533,0.0,0.0
206,0,733203.3601038917,0.0,0.0
207,0,650788.1473977803,0.0,0.0
208,1,358220.5463516664,354711.0108216539,0.9902028636666553
209,3,15022516.247232374,4097481.242486381,0.2727559867503067
210,1,14653277.643321881,1181939.4744342756,0.08066041627027626
211,0,20084018.60727368,0.0,0.0
212,0,8854804.029494558,0.0,0.0
213,1,5533707.270808866,920022.5852724867,0.1662579063633784
214,1,2054093.4001040994,981016.5817871924,0.4775910295692861
215,1,6928934.886307828,1074191.1402427454,0.1550297640067941
216,1,583201.0546623401,583201.0546623401,1.0
217,1,612694.2107329927,19993.903356771363,0.032632760366466965
218,1,234504.88552399637,234504.88552399635,0.9999999999999999
219,1,938807.308391416,2867.1909832136284,0.003054078251826107
220,1,398770.1556365803,398770.15563658037,1.0000000000000002
221,1,3671232.4406243386,1056547.4023634163,0.2877909310977153
222,1,220096.55041259277,220096.5504125928,1.0000000000000002
223,1,83306.962412875,83306.96241287501,1.0000000000000002
224,1,105194.95616673373,105194.95616673373,1.0
225,1,212875.1291559946,212875.12915599457,0.9999999999999999
226,1,241494.5592200346,241494.5592200346,1.0
227,1,249860.94991518874,249860.9499151887,0.9999999999999999
228,1,528002.7412020264,528002.7412020264,1.0
229,0,151848.5311094065,0.0,0.0
230,1,1192894.0305668528,836807.2982705605,0.7014934074847512
231,0,1149180.3470817062,0.0,0.0
232,1,2397640.0805491223,1133025.470249986,0.4725586127132533
233,0,4303722.322982391,0.0,0.0
234,1,5819685.52483115,1243163.5851358497,0.2136135328672967
235,0,2887707.528781659,0.0,0.0
236,1,3791020.707364342,734906.9007606229,0.19385462583546725
237,0,2732074.111079133,0.0,0.0
238,0,9229004.04525754,0.0,0.0
239,0,6544768.062378965,0.0,0.0
240,0,2703272.8670393033,0.0,0.0
241,0,5223517.571905101,0.0,0.0
242,1,1498599.4907917965,383000.8057143794,0.25557249156144984
243,1,2306454.952355941,899917.138774579,0.3901732994417922
244,1,4721925.786137088,1127941.9422339199,0.23887328884867254
245,1,224842.83215504515,224842.83215504518,1.0000000000000002
246,2,1631959.4086374058,563094.8756450266,0.3450422067269302
247,1,1172463.393209974,986855.0048234074,0.8416936601505252
248,1,1335009.1818542697,1108580.4065414274,0.8303915970088366
249,1,314998.17096505646,314998.1709650564,0.9999999999999998
250,1,1196876.936501971,848186.5802921924,0.7086664922887798
251,1,187452.04402052643,186806.13778523164,0.9965542854511414
252,1,614849.2164560347,614849.2164560347,1.0
253,1,226483.5901499365,226483.5901499365,1.0
254,1,730064.3729948392,715988.1479703631,0.9807192001895214
255,0,546224.7539006541,0.0,0.0
256,1,1727563.0603438218,1251654.3640647207,0.7245202174070652
257,1,1546859.9022305226,30593.879716385665,0.019778054672094265
258,0,3205877.32086858,0.0,0.0
259,0,1141785.4304078983,0.0,0.0
260,0,666761.7332628818,0.0,0.0
261,0,269827.81470466283,0.0,0.0
262,0,1913272.0073740059,0.0,0.0
263,1,3704232.509175862,789632.7722354846,0.21317041256980016
264,1,398806.7228796632,185933.3199746807,0.46622413642406074
265,2,2491017.9769913736,2223739.6523571718,0.8927031731192009
266,1,1477832.6006666436,860958.4193385358,0.5825818289230873
267,2,457787.5609670568,100496.03825024277,0.21952548915472747
268,1,548411.6523886316,548411.6523886316,1.0
269,1,2563916.9032522067,683714.5868045669,0.26666799767859384
270,0,1836422.194988366,0.0,0.0
271,1,193049.71605244197,193049.716052442,1.0000000000000002
272,0,2599735.305672685,0.0,0.0
273,1,825581.5569444655,664285.0486031703,0.8046268027858269
274,1,1364256.2336939373,137387.8333057946,0.10070530001083121
275,5,11732287.715729726,5427079.463484619,0.4625764041064573
276,1,1794077.8079238345,643277.0926144838,0.35855584956981607
277,0,319839.2787731424,0.0,0.0
278,1,944281.5174405284,428686.7459702707,0.4539819302322305
279,1,195553.89409287513,13090.065643332537,0.06693840439257949
280,1,311239.83409453754,311239.83409453754,1.0
281,1,279655.9232513807,57465.57962876968,0.2054867244028094
282,1,3075359.63259539,935677.4165297231,0.3042497555773912
283,0,1193022.478492651,0.0,0.0
284,1,3621059.896790093,831794.4090100849,0.22971020439276174
285,0,385602.0872368512,0.0,0.0
286,1,760838.9645587394,760838.9645587393,0.9999999999999999
287,0,318860.76734058716,0.0,0.0
288,0,837716.4899413502,0.0,0.0
289,1,2109453.5704970704,1229434.7603599436,0.5828214365819108
290,1,2081482.3481366578,1517217.6023205754,0.7289120677284571
291,0,2391589.895181612,0.0,0.0
