port_id,lat,lon,berth_count,polygon
10,39.21634833721446,119.03462474798845,4,"MULTIPOLYGON (((119.02965289130434 39.2135561111111, 119.02931737037038 39.2135561111111, 119.02931737037038 39.21361614285714, 119.02965289130434 39.21361614285714, 119.02965289130434 39.2135561111111)), ((119.03139097560978 39.21474219512195, 119.03139097560978 39.21506578571429, 119.03224378181817 39.21506578571429, 119.03224378181817 39.21474219512195, 119.03139097560978 39.21474219512195)), ((119.03392325000002 39.215777999999986, 119.03392325000002 39.216336, 119.034517 39.216336, 119.034517 39.215777999999986, 119.03392325000002 39.215777999999986)), ((119.03601766666668 39.21712875, 119.03601766666668 39.2176439047619, 119.03704761904761 39.2176439047619, 119.03704761904761 39.21712875, 119.03601766666668 39.21712875)))"
11,39.9213318698581,119.67500798875723,11,"MULTIPOLYGON (((119.67100313953489 39.9271630232558, 119.67100313953489 39.926704794871796, 119.6704742 39.926704794871796, 119.6704742 39.9271630232558, 119.67100313953489 39.9271630232558)), ((119.6724075714286 39.92886035714286, 119.6724075714286 39.930050900000005, 119.67352546666663 39.930050900000005, 119.67352546666663 39.92886035714286, 119.6724075714286 39.92886035714286)), ((119.6760603157895 39.927391849999985, 119.67642492499999 39.927391849999985, 119.67646397959183 39.924686204081624, 119.6762234 39.924686204081624, 119.6760603157895 39.927391849999985)), ((119.67654337499997 39.922816250000004, 119.6767833397972 39.917650574074074, 119.67758645833334 39.917650574074074, 119.6777 39.913774749999995, 119.67661477464786 39.913774749999995, 119.67654337499997 39.922816250000004)), ((119.66594760000001 39.92981399999999, 119.66594760000001 39.928643666666666, 119.66557038888887 39.928643666666666, 119.66557038888887 39.92981399999999, 119.66594760000001 39.92981399999999)), ((119.66769350000001 39.93039974999999, 119.66769350000001 39.93080244594595, 119.66847979999999 39.93080244594595, 119.66847979999999 39.93039974999999, 119.66769350000001 39.93039974999999)), ((119.67114045652173 39.933010821839076, 119.67114045652173 39.933319499999996, 119.6715027777778 39.933319499999996, 119.6715027777778 39.933010821839076, 119.67114045652173 39.933010821839076)))"
12,38.94349002678571,118.44657426654135,1,"POLYGON ((118.44363578571429 38.942019625, 118.44363578571429 38.94496042857143, 118.4495127473684 38.94496042857143, 118.4495127473684 38.942019625, 118.44363578571429 38.942019625))"
13,38.978639460331514,117.77272686508711,21,"MULTIPOLYGON (((117.77877475 38.968718513513515, 117.77877475 38.96885, 117.77900774545456 38.96885, 117.77900774545456 38.968718513513515, 117.77877475 38.968718513513515)), ((117.78112772222225 38.96841754545454, 117.78210329310345 38.96841754545454, 117.78210329310345 38.9682511111111, 117.78112772222225 38.9682511111111, 117.78112772222225 38.96841754545454)), ((117.78343990476189 38.96798966666667, 117.78518105714286 38.96798966666667, 117.78518105714286 38.96753914285715, 117.78343990476189 38.96753914285715, 117.78343990476189 38.96798966666667)), ((117.78800958333333 38.96733285000001, 117.78912627397258 38.96733285000001, 117.78912627397258 38.967117767123284, 117.78800958333333 38.967117767123284, 117.78800958333333 38.96733285000001)), ((117.7792885882353 38.98640412499999, 117.7792885882353 38.98719928125, 117.77937874999999 38.98719928125, 117.77937874999999 38.98640412499999, 117.7792885882353 38.98640412499999)), ((117.780412 38.98397428, 117.78081403125 38.98397428, 117.78081403125 38.983674406249996, 117.780412 38.983674406249996, 117.780412 38.98397428)), ((117.78184513043477 38.98263733333334, 117.78184513043477 38.98297047826086, 117.78240038095238 38.98297047826086, 117.78240038095238 38.98263733333334, 117.78184513043477 38.98263733333334)), ((117.7834592745098 38.981904686274504, 117.78443256 38.981904686274504, 117.78443256 38.9812474, 117.7834592745098 38.9812474, 117.7834592745098 38.981904686274504)), ((117.78725942424241 38.979388757575755, 117.7891133125 38.979388757575755, 117.7891133125 38.97818309375, 117.78725942424241 38.97818309375, 117.78725942424241 38.979388757575755)), ((117.78381004 38.97435111999999, 117.78381004 38.97435686956521, 117.78382156521738 38.97435686956521, 117.78382156521738 38.97435111999999, 117.78381004 38.97435111999999)), ((117.78588434782606 38.97373836363636, 117.78614528070176 38.97373836363636, 117.78614528070176 38.97365795, 117.78588434782606 38.97365795, 117.78588434782606 38.97373836363636)), ((117.7761223043478 38.97658834782608, 117.77642769230769 38.97658834782608, 117.77642769230769 38.9765011025641, 117.7761223043478 38.9765011025641, 117.7761223043478 38.97658834782608)), ((117.75792987755102 38.972841781818175, 117.75792987755102 38.972885020408164, 117.75809609615385 38.972885020408164, 117.75809609615385 38.972841781818175, 117.75792987755102 38.972841781818175)), ((117.76095890196078 38.97228203636364, 117.7609968627451 38.97228203636364, 117.7609968627451 38.97212154901961, 117.76095890196078 38.97212154901961, 117.76095890196078 38.97228203636364)), ((117.76344709803922 38.97188445312499, 117.763495546875 38.97188445312499, 117.763495546875 38.97172473469388, 117.76344709803922 38.97172473469388, 117.76344709803922 38.97188445312499)), ((117.76638192982455 38.971495208333316, 117.76645137179487 38.971495208333316, 117.76645137179487 38.97133480357142, 117.76638192982455 38.97133480357142, 117.76638192982455 38.971495208333316)), ((117.76881932258063 38.970414769230764, 117.76921669230771 38.970414769230764, 117.76921669230771 38.97027307692308, 117.76881932258063 38.97027307692308, 117.76881932258063 38.970414769230764)), ((117.77207838888889 38.96993691666666, 117.77242226086956 38.96993691666666, 117.77242226086956 38.969797130434785, 117.77207838888889 38.969797130434785, 117.77207838888889 38.96993691666666)), ((117.76457956603774 38.97645525, 117.76477959574468 38.97645525, 117.76477959574468 38.97632965957447, 117.76457956603774 38.97632965957447, 117.76457956603774 38.97645525)), ((117.75786505454545 38.981627285714296, 117.75786505454545 38.98266415, 117.76138431707317 38.98266415, 117.76138431707317 38.981627285714296, 117.75786505454545 38.981627285714296)), ((117.75231630769231 38.97415777777777, 117.75231630769231 38.9746120232558, 117.75356564646464 38.9746120232558, 117.75356564646464 38.97415777777777, 117.75231630769231 38.97415777777777)))"
14,40.25366484271869,122.08751317600314,4,"POLYGON ((122.09167900000001 40.246916285714285, 122.08176362499998 40.246916285714285, 122.08176362499998 40.26135955434782, 122.09167900000001 40.26135955434782, 122.09167900000001 40.2535498, 122.09463598684209 40.2535498, 122.09477038888886 40.25112887499999, 122.09471966666668 40.24710118897638, 122.09167900000001 40.246916285714285))"
15,38.965628960937494,118.47323886938536,1,"POLYGON ((118.4692711111111 38.960871921875004, 118.4692711111111 38.97038599999999, 118.47720662765957 38.97038599999999, 118.47720662765957 38.960871921875004, 118.4692711111111 38.960871921875004))"
16,29.97107163888889,122.15101591457288,1,"POLYGON ((122.15023200000002 29.970296500000007, 122.15023200000002 29.97184677777778, 122.15179982914574 29.97184677777778, 122.15179982914574 29.970296500000007, 122.15023200000002 29.970296500000007))"
17,31.02383142803031,121.48633245241143,1,"POLYGON ((121.48603305633804 31.023324606060616, 121.48603305633804 31.024338250000003, 121.48663184848485 31.024338250000003, 121.48663184848485 31.023324606060616, 121.48603305633804 31.023324606060616))"
18,31.049989665108807,121.47389275326142,12,"MULTIPOLYGON (((121.47528800000002 31.039779199999998, 121.47528800000002 31.0415094, 121.47580788235295 31.0415094, 121.4754819347826 31.046720606060614, 121.47581880000001 31.046720606060614, 121.47581880000001 31.044503250000005, 121.47643000000001 31.044503250000005, 121.47643000000001 31.0415094, 121.4769948 31.0415094, 121.4769948 31.039779199999998, 121.47528800000002 31.039779199999998)), ((121.47724539999996 31.03407761111111, 121.47711338888887 31.03407761111111, 121.47711338888887 31.03416199999999, 121.47724539999996 31.03416199999999, 121.47724539999996 31.03407761111111)), ((121.47405566666669 31.051144931034475, 121.47405566666669 31.05206344791667, 121.47459662500002 31.05206344791667, 121.47459662500002 31.051144931034475, 121.47405566666669 31.051144931034475)), ((121.47187349999999 31.05844149999999, 121.47187349999999 31.058736666666668, 121.47232899999997 31.058736666666668, 121.47232899999997 31.05844149999999, 121.47187349999999 31.05844149999999)), ((121.47244265384613 31.056938821917797, 121.472763625 31.056938821917797, 121.472763625 31.056698746987948, 121.47244265384613 31.056698746987948, 121.47244265384613 31.056938821917797)), ((121.4670402 31.0724986, 121.4670402 31.073115875000003, 121.46771012499998 31.073115875000003, 121.46815999999998 31.069959416666663, 121.46752564814815 31.069959416666663, 121.46752564814815 31.0724986, 121.4670402 31.0724986)), ((121.46850139999997 31.068603, 121.46878324999999 31.068603, 121.46878324999999 31.06806396, 121.46850139999997 31.06806396, 121.46850139999997 31.068603)), ((121.46890857142857 31.066193285714277, 121.46908771428572 31.066193285714277, 121.46908771428572 31.06583207142857, 121.46890857142857 31.06583207142857, 121.46890857142857 31.066193285714277)), ((121.469979 31.0642492, 121.47026119999998 31.0642492, 121.47026119999998 31.063077786885252, 121.469979 31.063077786885252, 121.469979 31.0642492)))"
19,26.724697889399835,119.73545271716971,2,"MULTIPOLYGON (((119.73500000000001 26.725000000000005, 119.73577336363634 26.725000000000005, 119.73577336363634 26.724154074074075, 119.73500000000001 26.724154074074075, 119.73500000000001 26.725000000000005)), ((119.73609817647058 26.7259164, 119.73609817647058 26.726206999999995, 119.73629766666664 26.726206999999995, 119.73629766666664 26.7259164, 119.73609817647058 26.7259164)))"
